#{"t_start": 1606315077.983036, "env_id": "gripper-env-v0"}
r,l,t
9298.349179,5,1436.809971
8495.582995,9,1437.417829
9299.121098,5,1437.768057
9297.620423,5,1438.117268
9098.269986,6,1438.512524
9699.288979,3,1438.738416
9297.77411,5,1439.072373
10000.0,1,1439.181842
10000.0,1,1439.286365
7100.000495,16,1440.184728
7798.11832,13,1440.902575
4899.223616,27,1442.406566
9297.742454,5,1442.735754
5297.426677,25,1444.160783
2698.322672,39,1446.428481
9497.84624,4,1446.694308
9396.410194,5,1447.051542
9296.698116,5,1447.387495
898.512687,47,1450.142042
9211.705564,6,1450.595586
7700.074465,13,1451.447665
9298.188139,5,1451.892981
9203.943578,6,1452.291294
7700.587843,14,1453.13727
9298.069156,5,1453.470004
-5898.180205,82,1457.591886
9289.736783,5,1457.961662
9299.187566,5,1458.270396
8897.581951,7,1458.703259
9299.575813,5,1459.057699
8999.045557,7,1459.546816
-40000.0,200,1469.696872
8698.314829,8,1470.192979
5697.988458,28,1472.152747
6798.378063,21,1473.257063
9299.988148,5,1473.625081
9399.10818,5,1474.010594
8396.620413,10,1474.631247
8902.090442,7,1475.101918
9298.12542,5,1475.405282
-11187.600894,109,1481.121744
-2101.985044,62,1484.478632
9098.441438,6,1484.891536
9008.947912,7,1485.37737
7297.670965,15,1486.307969
-40000.0,200,1497.01356
6098.285263,21,1498.123889
9399.453008,5,1498.469441
10000.0,1,1498.592073
-29487.216481,200,1509.425498
-40000.0,200,1521.653691
-40000.0,200,1532.300683
-29275.880303,200,1543.532513
2153.399168,96,1549.032307
14035.433725,34,1550.853198
12637.534184,41,1553.053209
-29065.046508,200,1563.48776
15438.11048,27,1565.070971
-26083.606866,200,1577.540939
13033.451889,39,1579.565217
-8107.362755,149,1588.214073
14438.21535,32,1590.107833
14031.880443,39,1592.360718
17236.070002,18,1593.408401
17337.579935,19,1594.540739
17633.295212,16,1595.851056
17837.694375,15,1596.834651
14154.141273,41,1599.268238
10961.798056,52,1602.255023
-27907.995415,200,1613.940363
9259.469551,60,1617.693062
16124.33636,27,1619.487724
-29479.846361,200,1635.824932
12535.038157,43,1638.698955
-29285.451213,200,1649.200329
17141.943622,20,1650.533696
-29378.573932,200,1660.810507
15954.61719,30,1663.042025
