time_spent_exploring,episodes,mean_100rew,success_rate,mean_td_errors,current_lr,total_timesteps
2,47000,0.6,0.57,0.022329856,0.0005,1446488
2,47100,0.4,0.44,-0.036333483,0.0005,1450713
2,47200,0.5,0.47,0.0026959935,0.0005,1454992
2,47300,0.6,0.56,0.0012480831,0.0005,1459207
2,47400,0.6,0.57,0.017964188,0.0005,1463499
2,47500,0.6,0.55,-0.028854817,0.0005,1467767
2,47600,0.5,0.53,0.011814983,0.0005,1472036
2,47700,0.6,0.58,-0.00035108998,0.0005,1476356
2,47800,0.6,0.55,0.020132987,0.0005,1480619
2,47900,0.6,0.56,0.002508469,0.0005,1484935
2,48000,0.6,0.63,-0.018127322,0.0005,1489214
2,48100,0.6,0.59,0.027572256,0.0005,1493544
2,48200,0.6,0.62,0.033698715,0.0005,1497858
2,48300,0.6,0.64,-0.031298935,0.0005,1502211
2,48400,0.7,0.65,0.0209122,0.0005,1506532
2,48500,0.8,0.76,0.06793733,0.0005,1510885
2,48600,0.6,0.61,-4.1197985e-05,0.0005,1515216
2,48700,0.7,0.65,0.044821844,0.0005,1519504
2,48800,0.7,0.69,-0.001575036,0.0005,1523767
2,48900,0.6,0.63,0.05555305,0.0005,1528113
2,49000,0.6,0.63,0.019631235,0.0005,1532506
2,49100,0.6,0.58,0.009449388,0.0005,1536784
2,49200,0.6,0.59,0.0070328526,0.0005,1541069
2,49300,0.7,0.7,0.003214104,0.0005,1545398
