#{"t_start": 1596974959.4286354, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
1.0,0.617,39,0.75,1070084,43443.326853
1.0,0.618,39,0.75,1070123,43444.845784
1.0,0.618,39,0.75,1070162,43446.130141
1.0,0.618,39,0.75,1070201,43448.378563
1.0,0.619,39,0.75,1070240,43449.922299
0.0,0.618,39,0.75,1070279,43451.141472
0.0,0.617,39,0.75,1070318,43453.471143
0.0,0.616,39,0.75,1070357,43454.705117
1.0,0.616,39,0.75,1070396,43456.414022
1.0,0.616,39,0.75,1070435,43458.501867
0.0,0.616,39,0.75,1070474,43460.292933
0.0,0.615,39,0.75,1070513,43461.926808
1.0,0.616,39,0.75,1070552,43463.259261
1.0,0.616,39,0.75,1070591,43464.63585
0.0,0.615,39,0.75,1070630,43466.663935
0.0,0.614,39,0.75,1070669,43468.06339
1.0,0.615,39,0.75,1070708,43469.425758
1.0,0.615,39,0.75,1070747,43472.315359
1.0,0.616,39,0.75,1070786,43473.916556
1.0,0.616,39,0.75,1070825,43475.40164
1.0,0.616,39,0.75,1070864,43477.578335
0.0,0.615,39,0.75,1070903,43479.051011
1.0,0.615,39,0.75,1070942,43480.42516
1.0,0.615,39,0.75,1070981,43481.911591
0.0,0.614,30,0.75,1071011,43483.366622
1.0,0.614,39,0.75,1071050,43484.565362
1.0,0.614,39,0.75,1071089,43486.086658
1.0,0.615,39,0.75,1071128,43487.612922
1.0,0.615,39,0.75,1071167,43489.093659
0.0,0.615,39,0.75,1071206,43490.744284
1.0,0.616,39,0.75,1071245,43492.147815
1.0,0.617,39,0.75,1071284,43493.990147
1.0,0.618,39,0.75,1071323,43495.473016
0.0,0.618,39,0.75,1071362,43496.838582
0.0,0.617,39,0.75,1071401,43498.246901
0.0,0.616,39,0.75,1071440,43499.574315
1.0,0.617,39,0.75,1071479,43500.993603
0.0,0.617,39,0.75,1071518,43502.322245
1.0,0.618,39,0.75,1071557,43503.666078
1.0,0.618,39,0.75,1071596,43505.115335
1.0,0.618,39,0.75,1071635,43506.512879
1.0,0.618,39,0.75,1071674,43507.732754
1.0,0.619,39,0.75,1071713,43511.670673
1.0,0.62,39,0.75,1071752,43513.352431
0.0,0.619,39,0.75,1071791,43514.703207
1.0,0.619,39,0.75,1071830,43517.844599
0.0,0.618,33,0.75,1071863,43519.126478
1.0,0.618,39,0.75,1071902,43521.173988
1.0,0.619,39,0.75,1071941,43523.057725
0.0,0.619,39,0.75,1071980,43524.342158
1.0,0.619,39,0.75,1072019,43526.246721
1.0,0.62,39,0.75,1072058,43527.692497
1.0,0.621,39,0.75,1072097,43529.177312
1.0,0.622,39,0.75,1072136,43530.686857
1.0,0.623,39,0.75,1072175,43531.97167
0.0,0.622,39,0.75,1072214,43533.671474
1.0,0.622,39,0.75,1072253,43535.156611
0.0,0.621,28,0.75,1072281,43536.396683
1.0,0.622,39,0.75,1072320,43537.923031
0.0,0.621,35,0.75,1072355,43539.117146
0.0,0.62,33,0.75,1072388,43540.08103
1.0,0.62,39,0.75,1072427,43541.62312
0.0,0.619,33,0.75,1072460,43542.878143
